Comentario,Polaridad,Aspectos
utilizan los extend e include no tan correctos la herencia la aplican correctamente,0,"extend, herencia"
tiene la estructura adecuada bien relacionados y cada actor esta bien involucrado,1,"estructura, actor"
estan todos relacionados y estan los  que se entienden en las especificaciones,1,especificaciones
estan de forma ordenadas cada cu enumerado de secuencia correcta y cumple con los verbos en infinitivos,1,"forma, secuencia"
los include y extends estan bien ubicados y direccionados,1,
la estructura tiene todos los elementos,1,"estructura, elementos"
me parece correcto tiene los actores necesarios,1,actores
numeracion de casos de uso desordenados la funcionalidad del paciente no esta bien,-1,"numeracion, casos"
la herencia es incorrecta,-1,herencia
la relacion entre los actores y las funcionalidades del sistema si estan correctas cada actor cumple unicamente con el rol que esta especificado en los requerimientos del sistema no obstante existen algunos casos de uso que a criterio personal no estan del todo correctos y faltarian unos casos de uso para completar con todas las funcionalidades que el sistema requiere,0,"relacion, actores"
los actores que estan especificados en el diagrama de casos de uso son los adecuados para cumplir con todos los requerimientos establecidos,1,"actores, diagrama"
los casos de uso establecidos en el diagrama de casos de uso estan correctos cada uno cumple con lo que el sistema necesita tener implementado pero faltan quizas uno que otro caso de uso como es el caso de registrar paciente ya que no hay ningun caso de uso que haga dicho procedimiento,0,"casos, uso"
la herencia entre administrativo y paciente esta incorrecta ya que como esta especificado en el diagrama de casos de uso indica que el administrativo hereda las funcionalidades del paciente y en realidad deberia ser lo contrario ya que quien tiene la funcionalidad de solicitar cita es el administrativo y no el paciente la relacion de extend entre los casos de uso asignar especialista y registrar historial no es correcta de la misma forma la relacion que hay entre los casos de uso consultar cita y registrar historial,-1,"herencia, incorrecta"
la estructura es correcta cumple con todo lo requerido,1,estructura
los actores estan bien definidos y son necesarios para el sistema,1,"actores, sistema"
algunas funcionalidades descritas no son correctas,-1,funcionalidades
la utilizacion de extends esta de forma correcta la utilizacion de los include estan de forma correcta la utilizacion de la herencia en algunos casos no es la correcta,0,"forma, forma"
en el diagrama estan  actores pero no todos tienen casos de usos,0,"diagrama, actores"
los actores estan bien especificados y si son necesarios en el sistema,1,"actores, sistema"
faltan algunos casos de usos como registrar paciente registrar diagnostico consultar diagnostico,-1,"casos, usos"
la herencia no esta bien realizada ya que el administrativo hereda lo que hace el paciente pero este no tiene ningun caso de uso y lo que esta haciendo el administrativo deberia hacerlo el paciente tambien el caso de uso realizar operacion tiene q tener un include hacia consultar paciente,-1,"herencia, paciente"
los actores involucrados y los casos de usos estan bien estructurados,1,"actores, casos"
todos los actores colocados son necesitados en el sistema y estan correctos,1,"actores, sistema"
faltan varios casos de usos en el sistema como registrar diagnostico consultar diagnostico entre otros el caso de uso cu no se entiende el objeto o esta mal hecho,-1,"casos, usos"
esta mal hecha la herencia y no se entiende el proceso de la comunicacion entre los casos de usos y algunos actores tampoco existe una relacion del caso de uso cu con el cu ya que ambos estan ligados en una operacion,-1,"mal, herencia"
todos los actores y caso de uso estan correctamente relacionados,1,"actores, caso"
los actores estan correctamente plasmados y son necesarios en el sistema,1,"actores, sistema"
la funcionalidad descrita no esta del todo correcta ya que para poder registrar historial debera de que paciente lo esta haciendo faltan casos de uso como para asignar el tratamiento y para realizar el diagnostico entre otros,0,"funcionalidad, casos"
el paciente no hereda del administrativo solo el especialista del medico que si lo muestra correctamente,-1,"paciente, especialista"
le falta la relacion del actor paciente con el caso de uso solicitar cita,-1,"relacion, actor"
todos los actores involucrados en el diagrama son necesarios para el funcionamiento del sistema,1,"actores, diagrama"
falta algunos caos de usos por ejemplo uno donde se involucre el tratamiento asignado al paciente,-1,"caos, usos"
la fecha de herencia de medico a especialista esta mal ademas no deberia existir herencia entre administrativo con el paciente,-1,"fecha, herencia"
si comprende el diseno con los actores y relacionado los casos de usos,1,"diseno, actores"
se encuentran todos los actores que intervienen en el sistema,1,"actores, sistema"
algunos casos de uso no tienen el funcionamientos correcto como el caso de uso realizar operacion el cu no tiene el objeto correcto y faltan algunos casos de usos,-1,"casos, uso"
no existe la comunicacion correcta y tambien esta mal realizada la herencia,-1,"comunicacion, mal"
la estructura es correcta en su mayoria con actores involucrados y caso de uso relacionado,1,"estructura, mayoria"
los actores estan bien especificados y son necesarios en el sistema,1,"actores, sistema"
la funcionalidad descrita es parcialmente correcta en su mayoria,0,"funcionalidad, mayoria"
no se utiliza el extend y el include de forma correcta existe una herencia entre paciente y administrativo que no deberia ir,-1,"extend, include"
existen todos los actores y casos de uso requeridos,1,"actores, casos"
los actores estan bien especificados y son requeridos por el sistema,1,"actores, sistema"
algunos casos de uso tienen nombres muy parecidos como para diferenciarse,0,"casos, uso"
buen uso de include extend y herencia,1,"uso, herencia"
la estructura es bastante adecuada a lo requerido,1,estructura
los actores son totalmente necesarios en el sistema,1,"actores, sistema"
la sintaxis no es correcta en dos casos de uso por la entidad medico que no es adecuada,-1,"sintaxis, casos"
se aplica include y extend de manera totalmente adecuada en el diagrama,1,"extend, manera"
la estructura no tiene errores,1,"estructura, errores"
los actores estan bien especificados y cumplen con las necesidades del sistema,1,"actores, necesidades"
la funcionalidad le falta estructurarse bien faltan casos de usos pero cumplen con la estructura adecuada y la sintaxis es correcta,0,"funcionalidad, casos"
el uso del extend y el include es correcto pero la herencia aplicada no es correcta,0,"uso, extend"
la estructura no tiene errores,1,"estructura, errores"
los actores son correctos,1,actores
la sintaxis no es correcta en dos casos de uso,-1,"sintaxis, casos"
la aplicacion de extend include y herencia son correctas,1,"extend, herencia"
presenta una estructura correcta sin embargo se puede apreciar casos de uso aislados que no deberian estar asi,0,"estructura, embargo"
cuenta con la cantidad de actores necesarios no obstante sus nombres no especifican del todo bien al actor,0,"cantidad, actores"
la funcionalidad cuenta con todo lo mencionado en los requerimientos pero su funcionamiento en general no plasma lo que se menciona en los requerimientos la sintaxis presentada cumple con lo establecido todos los casos de uso estan presentes,0,"funcionalidad, requerimientos"
el extend include y herencia en la mayoria de los casos de uso esta de forma correcta pero la manera de emplearlas no se justifica a lo presentado en los requerimientos,0,"extend, herencia"
la estructura es correcta cumple con todo lo necesario ya que los actores y casos de usos bien relacionados,1,"estructura, actores"
los actores representados en el diagrama estan bien especificados y son diferenciables cada uno de los actores es necesario y requerido por el ejercicio,1,"actores, diagrama"
la funcionalidad que se describe no es correcta ya que se puede denotar casos de usos con tendencia de isla como es pasa en el caso de uso cu registrar datos otros casos de uso no estan bien definidos debido a que su funcionamiento no esta bien planteada en el diagrama la sintaxis es adecuada ya que sigue una numeracion ordenada entre los casos de uso usa verbos en infinitivo al cual se le asocia un objeto,-1,"funcionalidad, casos"
el uso de la herencia esta bien planteado y ejecutado por otro lado los estereotipos extend no son del todo correcto su uso los includes son correctos,0,"uso, herencia"
la estructura es correcta pero los casos de uso relacionados no son correctos del todo,0,"estructura, casos"
los actores identificados son los correctos,1,actores
la funcionalidad deja mucho que desear la sintaxis es correcta,-1,"funcionalidad, sintaxis"
se utiliza extends e include de manera no apropiada,-1,manera
la estructura fue realizada de manera correcta ya que se hizo buen uso de los actores y casos de uso,1,"estructura, manera"
los actores son correctos aunque uno cuenta con un nombre poco representativo como en los requerimientos,0,"actores, nombre"
la funcionalidad no es la correcta porque no representa a los requerimientos como debe la sintaxis esta adecuada con todos los casos de uso,-1,"funcionalidad, requerimientos"
el extend include y herencia estan utilizados de manera correcta pero segun los requerimientos no permitirian hacer los procesos del sistema de manera correcta,0,"extend, herencia"
los actores conectan de forma correcta con los casos de uso pero existe una isla en los casos de uso realizados por el paciente,0,"actores, forma"
los actores estan bien especificados y son necesarios en el sistema para cumplir con los requisitos del sistema,1,"actores, sistema"
la funcionalidad que describen los casos de uso es la correcta segun los requerimientos la numeracion de los casos de uso no es correcta porque hay casos de uso que invocan a un caso de uso que tienen un numero superior el nombre de los casos de uso es correcto,0,"funcionalidad, casos"
el uso del extend e include es correcto segun los requerimientos,1,"uso, extend"
la estructura esta correcta,1,estructura
el diagrama posee todos los actores requeridos por el sistema,1,"diagrama, actores"
la funcionalidad es correcta la sintaxis es adecuada pero cambia el nombre de un mismo objeto en dos casos de uso,0,"funcionalidad, sintaxis"
uso innecesario de include existen casos de uso que no estan refiriendo a ningun actor,-1,"uso, casos"
todos los actores estan relacionados con algun caso de uso y las conexiones son correctas,1,"actores, caso"
todos los actores son necesarios en el sistema segun lo indica la problematica planteada,1,"actores, sistema"
la funcionalidad descrita es la adecuada la sintaxis usada es correcta todos los casos de uso estan completos la numeracion en orden de prioridad no es la correcta,0,"funcionalidad, sintaxis"
existe un error el cual no utiliza la herencia que desde especialista hacia medico cabecera,-1,"error, herencia"
los actores conectan de forma correcta con los casos de uso,1,"actores, forma"
cuenta con los actores que son necesarios en el sistema,1,"actores, sistema"
cuenta con una sintaxis adecuada pero no cuenta con la numeracion lo cual hace imposible saber si estan adecuados o no tiene los casos de uso completos,0,"sintaxis, numeracion"
los includes y extend estan aplicados de manera correcta,1,"includes, extend"
la estructura no esta bien relacionada por ejemplo se esta dejando en unas islas o aparte los casos de usos del paciente los actores medico cabecera y especialista nos estan relacionados,-1,"estructura, ejemplo"
los actores involucrados si son necesarios para el funcionamiento del sistema,1,"actores, funcionamiento"
no tiene de manera ordena los casos de usos,-1,"manera, casos"
no se tiene herencia entre los actores medico cabecera y especialista no se aplica correctamente el la comunicacion entre el cu y cu los casos de usos del actor paciente no estan integrados al sistema,-1,"herencia, actores"
la estructura es correcta con actores involucrados y caso de uso relacionado,1,"estructura, actores"
los actores estan bien especificados y son necesarios en el sistema,1,"actores, sistema"
la funcionalidad es la correcta todos los casos de uso estan completos,1,"funcionalidad, casos"
no se aplica herencia entre los actores medico cabecera y especialista no hay una correcta comunicacion entre el caso registrar cita y los casos consultar cita asignar cita los casos de uso del actor paciente no estan integrados al sistema,-1,"herencia, actores"
la estructura hecha esta correcta mostrando los actores y los casos de uso necesarios,1,"estructura, actores"
se logra visualizar todos los actores necesarios para el sistema,1,"actores, sistema"
cada caso de uso describe su funcionalidad correctamente,1,"caso, uso"
existen comunicaciones que pueden confundir dentro del diagrama,-1,"comunicaciones, diagrama"
la estructura tiene carencia de logica,-1,"estructura, carencia"
tiene todos los actores del caso planteado,1,"actores, caso"
la mayoria de los casos de uso son incorrectos,-1,"mayoria, casos"
se utiliza de manera no correcta el uso de extend include y herencia,-1,"manera, uso"
la estructura es poco adecuada para la relacion entre actores y casos de uso,-1,"estructura, relacion"
los actores estan especificados en el sistema y son necesarios para su desarrollo,1,"actores, sistema"
la funcionalidad no es correcta en algunos casos de uso los casos de uso no tienen numeracion y no estan completos,-1,"funcionalidad, casos"
el extend en un caso de uso no es correcto,-1,"extend, caso"
no existen errores de estructura,1,"errores, estructura"
los actores estan bien especificados,1,actores
la funcionalidad descrita no es correcta la sintaxis no esta bien especificada y faltan casos de uso,-1,"funcionalidad, sintaxis"
la forma en que se usa el extend include y herencia no es de forma correcta y no justifica totalmente las funcionalidades,-1,"forma, extend"
la estructura es correcta se muestran todos los actores involucrados,1,"estructura, actores"
los actores son los necesarios en el sistema,1,"actores, sistema"
los casos de usos no se encuentran numerados la funcionalidad descrita no es del todo correcta existen casos de uso que no los esta realizando ningun actor,-1,"casos, usos"
el uso de include no es justificado en algunos casos,-1,"uso, casos"
la estructura es incorrecta e ineficiente los actores y los casos de uso estan mal relacionados,-1,"estructura, actores"
los actores estan especificados e involucrados correctamente,1,actores
la sintaxis es inadecuada los casos de uso no estan enumerados faltan casos de uso segun las especificaciones,-1,"sintaxis, casos"
el include esta siendo mal utilizado el extend esta siendo mal utilizado la comunicacion no es adecuada segun los requerimientos,-1,"include, extend"
la estructura no es del todo adecuada,-1,estructura
hay actores que no son necesarios en el sistema,-1,"actores, sistema"
la funcionalidad descrita es la correcta no hay numeracion en los casos de usos faltan casos de usos,0,"funcionalidad, numeracion"
el include esta siendo mal utilizado el extend esta siendo mal utilizado la comunicacion no es adecuada segun los requerimientos,-1,"include, extend"
la estructura es parcialmente correcta,0,estructura
se encuentran todos los actores necesario,1,actores
los casos de uso no se comprenden,-1,"casos, uso"
el include esta siendo mal utilizado el extend esta siendo mal utilizado la comunicacion no es adecuada segun los requerimientos,-1,"include, extend"
usa de forma correcta los actores y los casos de uso evitando que exista algun error en el diagrama,1,"forma, actores"
todos los actores son necesarios en el diagrama y estan plasmados de forma correcta,1,"actores, diagrama"
la funcionalidad descrita es poco adecuada el medico general no podra ver el historial sino existe primero un registro del historial de los pacientes consultando a los pacientes existentes el paciente solo podra solicitar cita no puede mostrar tratamiento validar usuario ni mostrar cita para que el medico general pueda asignar un tratamiento debe de realizar diagnostico y consultar paciente lo cual no esta implementado y hace que falten muchos casos de uso no cuenta con la numeracion de los casos de uso y dificulta su visibilidad en la prioridad de ejecucion,-1,"funcionalidad, medico"
utiliza la herencia de forma incorrecta donde esta no va de paciente a personal administrativo sino de medico especialista a medico general el extend lo aplica mal donde deberia estar dentro de un caso de uso que vaya a realizar operacion que lo realiza el medico especialista,-1,"herencia, forma"
la estructura es la correcta con actores involucrados y caso de uso relacionados,1,"estructura, correcta"
los actores estan bien especificados y son necesarios en el sistema,1,"actores, sistema"
la funcionalidad descrita es correcta en su mayoria los casos de uso no cuentan con numeraciones no todos los casos de uso estan completos,0,"funcionalidad, mayoria"
se utiliza extend include y herencia de forma correcta en su mayoria y justificada segun el requerimiento el actor paciente esta heredando las acciones de el actor personal administrativo,1,"extend, herencia"
la estructura no tiene errores,1,"estructura, errores"
se encuentran todos los actores que participan en el programa,1,"actores, programa"
algunos casos de uso no tienen funcionalidad correcta,-1,"casos, uso"
modificar historial no tiene conexiones directa con el actor por tanto la comunicacion es incorrecta,-1,"conexiones, actor"
esta estructurado correctamente una parte del diagrama con los actores y sus casos de uso,1,"parte, diagrama"
se encuentran todos los actores requeridos por el sistema,1,"actores, sistema"
algunos casos de uso transmiten correctamente su funcionalidad no se encuentran enumerados los casos de uso los casos de uso no estan completos,-1,"casos, uso"
mal uso en una parte de includes dentro del diagrama una mala practica de herencia,-1,"uso, parte"
existe la presciencia de casos de usos que no deberian estar,-1,"presciencia, casos"
los actores estan debidamente establecidos,1,actores
cumple con los requisitos pero hay casos de uso que no deberian estar,0,"requisitos, casos"
existe buena comunicacion entre todos lo casos de uso y aplica de manera correcta el include extend y herencia,1,"comunicacion, casos"
la estructura del diagrama de casos de uso es correcta,1,"estructura, diagrama"
los actores estan bien especificados y son necesarios en el sistema,1,"actores, sistema"
la funcionalidad descrita en los casos de uso es correcta segun el caso de estudio los casos de uso estan escritos con un verbo en infinitivo y un objeto pero su numeracion no esta ordenada,0,"funcionalidad, casos"
el extend y la herencia estan utilizados de forma correcta pero hay algunos include que invocan casos de uso que no corresponden como es el caso de cu asignar especialista que invoca a cu solicitar cita,0,"extend, herencia"
no existe concordancia entre los casos de uso debido a que su estructura no es la correcta,-1,"concordancia, casos"
los actores estan bien definidos lo cual son necesarios en el sistema debido a que todos ellos intervienen en el proceso,1,"actores, sistema"
existen casos de usos que no estan bien definidos debido a que algunos no cumplen con la funcionalidad del sistema por otro lado la sintaxis se encuentra correcta,-1,"casos, usos"
referente a la herencia entre paciente y administrador no esta bien realizada debido a que un paciente hereda lo de administrador pero un paciente no puede registrar paciente,-1,"referente, herencia"
tienen relacion entre caso de usos y actores la comunicacion es correcta,1,"relacion, caso"
los actores estan completos y son necesarios en el sistema,1,"actores, completos"
si tienen numeracion en los casos de usos los casos de usos si estan bien formados con verbos y objetos pero hay casos de usos que estan de mas tambien el caso de uso registrar paciente lo hace el paciente cuando deberia hacerlo el administrativo falta el caso de uso consultar historial,0,"numeracion, casos"
la herencia los includes y extends estan de forma correcta,1,"herencia, includes"
todo esta muy bien de acuerdo a los requisitos colocados tanto en el diseno como la informacion puesta,1,"acuerdo, requisitos"
todos los actores necesarios en el sistema estan colocados,1,"actores, sistema"
la sintaxis de los casos de uso esta muy bien y su estructura igual y por ende su funcionalidad esta correcta,1,"sintaxis, casos"
si se utiliza de manera correcta todos los puntos como la herencia el include y los extend,1,"manera, puntos"
la estructura entre actores y casos de uso es correcta,1,"estructura, actores"
cuenta con los actores necesarios para dicho sistema,1,"actores, sistema"
la sintaxis es correcta por parte de la numeracion en los caso de uso tambien correcta cuenta con algunos caso de uso que no se solicitan en el ejercicio como registrar medico y que el paciente no deberia registrarse a el mismo,0,"sintaxis, parte"
en el caso de uso cu el medico no es el que tiene que volver a solicitar la cita si no que el paciente como se describe en el problema,-1,"caso, uso"
se encuentra correctamente toda la informacion y el diseno,1,diseno
si estan todos los actores que manipulan el sistema,1,"actores, sistema"
la estructura del caso de uso es correcto y presentan su funcionalidad correcta,1,"estructura, caso"
si estan comunicado correctamente los casos de usos mediante los include y los extend,1,"casos, usos"
la estructura es correcta porque contiene actores y casos de uso,1,"estructura, actores"
los actores estan bien especificados y pertenecen al sistema,1,"actores, sistema"
la funcionalidad que se presenta es correcta la sintaxis es incorrecta ya que hay casos de uso que contienen un verbo en infinitivo y mas de un objeto ademas su numeracion se encuentra en desorden,0,"funcionalidad, sintaxis"
existen extend fuera de lugar como por ejemplo en el caso de uso actualizar tratamiento que tiene un extend hacia registrar cita e include que conectan desde un caso de uso actualizar hacia otro caso de uso actualizar,-1,"lugar, ejemplo"
la estructura es correcta contiene todo lo requerido,1,estructura
los actores estan bien definidos y son necesarios para el sistema,1,"actores, sistema"
las funcionalidades descritas son correctas la sintaxis es la correcta,1,"funcionalidades, sintaxis"
la utilizacion de herencia esta de forma correcta la utilizacion de los include estan de forma correcta la utilizacion de la extends en algunos casos no es la correcta,0,"utilizacion, herencia"
no existen errores de estructura,1,"errores, estructura"
todos los actores son correctos,1,actores
la mayoria de los casos de uso tienen numeracion aunque un poco desordenada,0,"mayoria, casos"
la comunicacion entre casos de uso y actores es incorrecta,-1,"comunicacion, casos"
el caso de uso tiene la estructura adecuada,1,"caso, uso"
los actores se especifican correctamente,1,actores
algunos casos de uso no siguen la sintaxis adecuada,-1,"casos, uso"
comunicaciones correctamente aplicadas,1,comunicaciones
la estructura del diagrama de clase de uso es correcto cuenta una relacion correcta entre los actores y casos de uso,1,"estructura, diagrama"
el diagrama de caso de uso cuenta con los actores necesarios para el sistema,1,"diagrama, caso"
el diagrama de caso de uso cuenta con varios errores en su sintaxis une el verbo pero esta poniendo mas de un objeto por parte de la numeracion algunos casos no lo hace de manera correcta ya que primero coloca un caso de uso y despues un include hacia otro que necesita del anterior,-1,"diagrama, caso"
algunos estereotipos no estan correctos como por ejemplo el cu con cu este cuenta con un  que no hace lo que se solicita en el sistema,-1,"estereotipos, correctos"
no se entienden bien las lineas de relacion entre algunos caso de uso y actores,-1,"lineas, caso"
los actores son los necesarios en el sistema,1,"actores, sistema"
no estan bien escrito no hace bien las consultas en cu no consulta la cita registrada en cu no consulta el paciente registrado,-1,"consultas, cita"
el include esta siendo mal utilizado el extend esta siendo mal utilizado,-1,"include, extend"
la estructura es correcta,1,estructura
los actores estan bien especificados y son necesarios en el sistema,1,"actores, sistema"
la sintaxis es correcta,1,sintaxis
se utilizan los includes de forma correcta,1,"includes, forma"
integra una estructura correcta con actores que se manifiestan a traves de cada caso de uso relacionado,1,"estructura, actores"
presenta claramente que los actores estan bien especificados y tienen coherencia con el sistema cada uno cumple su funcion en el diagrama de caso de uso,1,"actores, coherencia"
determina su funcionalidad correctamente la representacion de la sintaxis es buena especificando el orden de cada uno de los casos de usos asignandoles su regla gramatical del verbo infinitivo mas el objetivo la representacion de los casos de usos si los encuentro completos aunque si se hubiera especificado un poco mas con la accion de la asignacion del especialista fuera mas entendible,1,"funcionalidad, sintaxis"
se muestra el uso de extend e include de manera correcta observe que hace el uso de una herencia de medico especialista hacia el medico general la cual juega el papel de adquirir todas las acciones que este realice no lo encuentro incorrecto porque el especialista debe obtener los datos del paciente como del tiramiento y otras cosas justificando los requerimientos solicitados por el ejercicio,1,"uso, extend"
no existe una estructura correcta con los actores involucrados y el caso de uso relacionado lo cual no existira una funcionalidad debida en el sistema,-1,"estructura, actores"
los nombres de los actores estan especificados de la mejor manera pero existe un error en un caso de uso el cual no cumple con lo que se requiere en el sistema,0,"nombres, actores"
la funcionalidad descrita en el diagrama de casos de uso es la correcta ya que cumple con la sintaxis adecuada y de una manera ordenada todos los casos de uso estan completos,1,"funcionalidad, diagrama"
el diagrama de casos de usos cumple con todo lo que se requiere consta de include y de extend,1,"diagrama, casos"
la estructura presentada es correcta,1,estructura
los actores son los requeridos por el sistema,1,"actores, sistema"
la sintaxis es correcta asi como la funcionalidad,1,"sintaxis, funcionalidad"
la utilizacion de los include y extend es correcto pero no siempre justificada,0,utilizacion
la estructura se presenta de manera correcta presenta de manera ordenada los casos de uso con los actores respectivos,1,"estructura, manera"
la cantidad de actores es correcta sin embargo existe un actor que esta realizando un hecho que no esta en los requerimientos,0,"cantidad, actores"
la funcionalidad en ciertos casos de uso no es la especificada en los requerimientos la sintaxis por su parte esta correcta,0,"funcionalidad, casos"
tanto el extend como el include y la herencia estan realizadas de manera correcta sin embargo existen algunos de estos apartados que corresponden a la justificacion dada en los requerimientos,0,"extend, include"
la estructura no tiene errores,1,"estructura, errores"
los actores estan correctos,1,"actores, correctos"
no aplica numeracion en los casos de uso,-1,"casos, uso"
mal uso del include  extend,-1,uso
la estructura esta correcta los actores y lo casos de uso estan todos bien relacionados,1,"estructura, actores"
los actores son los necesarios y estan bien especificados la herencia la aplican correctamente y es necesaria,1,"actores, herencia"
la funcionalidad tiene ligeras carencias de algunos parametros descritos en el documento algunos casos de uso no estan bien definidos o implementados por ejemplo el cu toma como objeto al actor la sintaxis es correcta cumple con lo necesario para que se entiendan las funcionalidades descritas,0,"funcionalidad, carencias"
la mayoria los casos de usos esta bien conectados mediante los estereotipos de extends e include en el caso de uso cu no es correcto su comunicacion la herencia esta bien aplicada y es correcta,0,"mayoria, casos"
la estructura no tiene errores,1,"estructura, errores"
se encuentran todos los actores que participan en el programa,1,"actores, programa"
no aplica numeracion en los casos de uso,-1,"casos, uso"
modificar historial no tiene conexiones directa con el actor,-1,"conexiones, actor"
la estructura no tiene errores,1,"estructura, errores"
los actores estan bien especificados y son necesarios en el sistema,1,"actores, sistema"
la funcionalidad descrita no esta mal cometio pocos errores la sintaxis usada es la correcta,0,"funcionalidad, cometio"
el uso de include extends y herencia se utilizan de manera correcta en la mayoria de los casos de uso sin embargo existen errores,0,"uso, herencia"
la estructura se encuentra bien ya que hace buen uso de los actores y casos de uso,1,"estructura, uso"
la mayoria de los actores esta bien pero el actor soporte no se encuentra especificado en los requerimientos y no es necesario para el sistema,0,"mayoria, actores"
la funcionalidad no es correcta ya que el actor soporte ademas de estar incorrecto es usado como objeto y realiza acciones no descritas,-1,"funcionalidad, actor"
esta bien en su gran mayoria pero tiene uso de include innecesario,0,"bien, mayoria"
diseno poco correcto hay que considerar que las relaciones entre los casos de uso no son correctas por ejemplo en el caso de uso generar tratamiento existen dos extend dirigiendose hacia varios lados que no estarian correctamente estructurados,-1,"relaciones, casos"
falta el actor que represente al personal no medico que siempre y cuando se requieran estaran encargados de realizar radiografias ecografias etc,-1,"actor, personal"
estan usando objetos que no deberian ir como es el caso de uso consultar medico medico como tal no es un objeto asi mismo faltan muchos casos de uso es decir que las funcionalidades no estan completas,-1,"objetos, caso"
unos casos de uso no estan utilizando correctamente el include y el extend como es el caso de generar tratamiento se debia aplicar herencia de paciente hacia administrativo ya que el administrativo y el paciente tienen la posibilidad de registrar cita y esto se representaria mejor con un solo caso de uso llamado registrar cita y que se herede dichas funcionalidades desde paciente hacia administrativo,0,"casos, uso"
tienen relacion entre caso de usos y actores pero la comunicacion no es correcta,0,"relacion, caso"
falta un actor que seria personal no medico,-1,actor
no tiene numeracion en los casos de usos los casos de usos si estan bien formados con verbos y objetos,0,"numeracion, casos"
la herencia no esta bien entre los casos de usos actualizar diagnostico y actualizar ficha_diagnostico,-1,"herencia, bien"
la manera en que se representa la estructura es la adecuada tanto los actores como los casos de uso,1,"manera, estructura"
los actores estan bien especificados sin embargo no consta con todos los actores que necesita el sistema,0,"actores, embargo"
la funcionalidad descrita no es del todo correcta debido a que existen requerimientos del sistema que no estan plasmados la sintaxis es la correcta y cuenta con una numeracion ordenada junto con verbos en infinitivo mas el objeto,0,"funcionalidad, requerimientos"
tanto extend include son utilizados de forma correcta sin embargo existen algunas comunicaciones que no representan del todo bien los requerimientos,0,"extend, forma"
la estructura no tiene errores,1,"estructura, errores"
los actores estan bien especificados y son necesarios en el sistema,1,"actores, sistema"
contiene una sintaxis correcta,1,sintaxis
se utilizan los extend de forma correcta,1,"extend, forma"
estructura del diagrama de caso de uso correcta,1,"estructura, diagrama"
cuenta con los actores necesarios para resolver el problema,1,"actores, problema"
existen algunos caso de uso que no estan bien descritos verbo  objeto,-1,"caso, uso"
se aplican los include y extends correctamente,1,
la estructura del diagrama de casos de uso es la adecuada cuenta con los actores y los casos de uso relacionados,1,"estructura, diagrama"
los actores descritos en el diagrama de caso de uso son correctos pero falta un actor que realiza actividades adicionales,0,"actores, diagrama"
faltan casos de usos que estan descritos en los requerimientos la funcionalidad del resto es correcta la sintaxis esta bien pero puede dar a confusion al haber mas de un sustantivo,0,"casos, usos"
utiliza de forma correcta los include  sin embargo los extends no los aplica bien las veces que se ha incluido no hay herencia cuando esta es justificable por los requerimientos,0,"forma, embargo"
la estructura es correcta,1,estructura
los actores estan bien especificados y son necesarios en el sistema,1,"actores, sistema"
la sintaxis es correcta,1,sintaxis
se utilizan los includes y extend de forma correcta,1,"includes, extend"
la estructura es correcta,1,estructura
los actores estan bien especificados y son necesarios en el sistema,1,"actores, sistema"
la funcionalidad descrita es correcta,1,funcionalidad
se utiliza extends e include de manera apropiada,1,manera
la estructura fue realizada de manera correcta ya que se hizo buen uso de los actores y casos de uso,1,"estructura, manera"
los actores son correctos aunque hace falta un actor que es necesario para el sistema,0,"actores, falta"
la funcionalidad no es la correcta porque no representa a los requerimientos como debe no tiene sintaxis adecuada ya que no cuenta con numeracion aunque si tiene el verbo en infinitivo mas el objeto en los casos de uso,-1,"funcionalidad, requerimientos"
el extend e include estan utilizados de manera correcta pero segun los requerimientos no permitirian hacer los procesos del sistema de manera correcta y no hace uso de la herencia,0,"extend, manera"
se presenta una estructura precisa con actores involucrados pero todos los casos de usos no se encuentran relacionados y afecta a simple vista entender que es lo que realiza,0,"estructura, actores"
los actores que juega en el sistema estan bien especificados y son necesarios en el sistema no se encuentran ninguno sin usar,1,"actores, sistema"
la determinacion de la sintaxis de los con los casos de usos es la adecuada cumpliendo con lo establecido ademas concuerda con su funcion a realizar  referente a la numeracion cada uno de ellos se encuentran enumerados opino que faltan mas casos de usos para hacer mas entendible el ejercicio,0,"sintaxis, casos"
se utiliza extend y include de manera correcta pero faltaria relacionar mas por ejemplo el paciente debe consultar su tratamiento y su medico pero no se encuentra comunicacion entre ellos por otro lado no usa herencia en este caso,0,"extend, manera"
la estructura no es correcta no tiene un diseno adecuado,-1,"estructura, diseno"
los actores involucrados son necesarios en el sistema,1,"actores, sistema"
la funcionalidad es poco adecuada en cuanto a la logica la sintaxis esta correcta y ordenada no estan completos los casos de uso,0,"funcionalidad, cuanto"
la comunicacion entre casos de uso es poco adecuada segun lo requerido,-1,"comunicacion, casos"
el diseno no es el correcto debido a que existe una aislamiento entre actores lo cual va a dificultar la iteracion del sistema,-1,"diseno, aislamiento"
los nombres de los actores estan bien especificados los cuales son de gran ayuda para la iteracion en el sistema,1,"nombres, actores"
no existe una correcta funcionalidad entre los casos de uso lo cual va afectar en el sistema ademas la sintaxis no es la correcta,-1,"funcionalidad, casos"
no existe una buena relacion de los include en ciertos casos de uso asi como del extend no se tiene herencia,-1,"relacion, casos"
no existen errores de estructura,1,"errores, estructura"
la mayoria de actores estan bien especificados,1,"mayoria, actores"
la funcionalidad descrita no es correcta la sintaxis no esta bien especificada y faltan casos de uso,-1,"funcionalidad, sintaxis"
